created_at,full_text
Thu May 25 07:51:52 +0000 2023,Demokrasi Dibajak Lembaga Survey\n\nLembaga Survey seolah olah tak henti hentinya membombardir masyarakat dengan rilis hasil surveynya. Publik seolah dipaksa harus mempercayai hasil dari lembaga survey tersebut.\n\nDari mulai merokenya suara seorang calon \npresiden. Sampai klaim… https://t.co/M14cTlqu2Z
Thu May 25 07:51:57 +0000 2023,Gubernur Jawa Barat Ridwan Kamil menempati posisi keempat pada hasil survei terbaru Lembaga Survei Jakarta (LSJ) bakal calon presiden 2024.\n\nHasil survei dari LSJ yang dilakukan 9 hingga 17 Mei 2023 di 34 provinsi di seluruh Indonesia
Thu May 25 07:51:43 +0000 2023,@alisyarief Indonesia butuh pemimpin yg suka bekerja keras \natletis dan energik \nsuka terjun  ke masyarakat \naktif mencari &amp; memberikan solusi permasalahan \ntidak suka duduk berjam-jam di ruangan yg ber-AC \napalagi di Istana\n#GanjarPenerusJokowi
Thu May 25 07:53:24 +0000 2023,@Aryprasetyo85 @gibran_tweet @03__nakula @al_lasan @Anak__Ogi @Arindra__ @B3doel___ @bwinsandi3 @ch_chotimah2 @denni_sauya @DM_N4BYL @seruanhl itu berita telah ber-bulan2 atau ber-tahun2 lalu ?\n\nG7 summit 2023
Thu May 25 07:52:39 +0000 2023,@democrazymedia Penggiringan atau pembentukan opini nih maksudnyaa Oom ??\nSangat Sangat Sangat Tidak Setujuuuuu...\nDari Simpatisan Militan\n@aniesbaswedan \nPresiden RI 2024-2029\nUntuk Indonesia Sejahtera\nDan Berkeadilan
Thu May 25 07:52:24 +0000 2023,Jembar aja punya presiden emang Indonesia doang punya presiden.
Thu May 25 07:53:23 +0000 2023,"@baharirwan2 @Ranger_Ichsan Orang udh pada tau klo pak AB jadi Presiden...akan lbh banyak pejabat yg pake rompi anti malu warna orange (terutama yg selama ini di amankan"")"""
Thu May 25 07:50:17 +0000 2023,@Dennysiregar7 To apa milih presiden
Thu May 25 07:48:35 +0000 2023,Ia mengungkapkan salah satu faktor yang sangat dipertimbangkan oleh masyarakat dalam menentukan pilihan pada pemilihan presiden (pilpres)#SemuaDukungPrabowo #IkutPakde Prabowo Subianto
Thu May 25 07:50:50 +0000 2023,@aniesbaswedan Semoga Alloh SWT mudahkan dan takdirkan jadi presiden. \n\nSaya dari Banyumas dukung pak Anies
