created_at,full_text
Thu May 25 07:30:09 +0000 2023,@Dennysiregar7 @fadlizon @Gerindra tapi dia gendut banget bang...presiden kek dia ngabisin anggaran aja
Thu May 25 07:30:21 +0000 2023,@NasDem @aniesbaswedan malah dadi kepikiran
Thu May 25 07:30:00 +0000 2023,Video hoax dengan narasi ribuan TNI dipimpin Panglima TNI dukung Anies sebagai Presiden 2024 sempat viral. Panglima TNI tegaskan lagi netralitas prajurit. https://t.co/ckozhpXi9O
Thu May 25 07:29:57 +0000 2023,Ketua Umum relawan Pro Jokowi (Projo) Budi Arie Setiadi mengungkapkan Jokowi merasa kekuatan PDI-P dan Partai Persatuan Pembangunan (PPP) tak cukup kuat untuk memenangkan Ganjar dalam pemilihan presiden (pilpres) mendatang.\n\nhttps://t.co/c2m5CQdpLH
Thu May 25 07:31:12 +0000 2023,@PutraErlangga95 aneh.. anak bangsa kok dukung KETURUNAN IMIGRAN jadi Presiden Indonesia.. Alangkah Tolol nya ...
Thu May 25 07:28:39 +0000 2023,@FPKSDPRRI Jika Pak Anis baswedan yg mnjd Presiden kita thn 2024 Insya Allah 0NH akan diturunkan oleh Pak Anis
Thu May 25 07:29:07 +0000 2023,Presiden @jokowi dan Presiden Seyyed Ebrahim Raisi
Thu May 25 07:29:10 +0000 2023,@nasrul_41 @aLa1717in @thariqueprimero @syahirnomic Ko nak samakan taraf kp dgn presiden yg jd PM
Thu May 25 07:11:05 +0000 2023,Happy ulang tahun @oneliev wyatb🙏🏻 https://t.co/ppBDGnhEN5
Thu May 25 07:28:31 +0000 2023,@alisyarief 🤣🤣😂😂😂🤣🤣😂😂🤣😂🤣😂🤣🤣😂sudah lah... lelah nanti dan menguras energi pikiran..kita balik bahasa BAHLIL menteri investasi...BERBAIK2 LAH dengan PAK ANIES... Semua pasti aman2 aja klo berbaik2 dengan pam a
Thu May 25 07:29:41 +0000 2023,Turut mendampingi Prabowo
Thu May 25 07:27:35 +0000 2023,KSP @Dr_Moeldoko berharap masyarakat tak terjebak isu politisasi penangkapan @kemkominfo Johnny G Plate\n\nPresiden @jokowi  sudah menjelaskan bahwa penangkapan Plate murni persoalan hukum
Thu May 25 07:27:59 +0000 2023,@SamuelPHarahap @KrisyantoOni Cangkeme mencla-mencle
Thu May 25 07:29:36 +0000 2023,Bakal Calon Presiden (Bacapres) Ganjar Pranowo menanggapi santai perihal hasil survei yang dilakukan oleh Litbang Kompas beberapa waktu lalu. https://t.co/lh0W2fPWmV
Thu May 25 07:29:01 +0000 2023,@Dennysiregar7 Lu ga kapok presiden dari petugas partai yg kerjanya di setir yg punya partai (mak Lampir) \nNamanya petugas partai otak dan kemampuan berfikir nya dangkal
Thu May 25 07:28:56 +0000 2023,@__nurdin @Dennysiregar7 @Gerindra Panik ya?\n\nRamalan Gus Dur.\n\n08 jadi presiden di usia tua.\n\nhttps://t.co/EBUNVAfhLL
Thu May 25 07:28:02 +0000 2023,@Block13_Madura @Dennysiregar7 @Gerindra Ramalan Gus Dur.\n\n08 jadi presiden di usia tua.\n\nhttps://t.co/EBUNVAfhLL
Thu May 25 07:28:55 +0000 2023,@Chaves1305 Hamdalah
Thu May 25 07:28:41 +0000 2023,@DoankWarto Presiden salah informasikan penutupan batubara di Opening Ceremony Hannover Messe.\nFatal ga ?\nTerus sekarang tetap jd presiden kan ?\n\nhttps://t.co/9QTbBfu2zY
Thu May 25 07:27:26 +0000 2023,terharu banget di ucapin sama presiden😊🙏🏻
Thu May 25 07:27:16 +0000 2023,Presiden Joko Widodo (Jokowi) dijadwalkan akan kembali mengunjungi Provinsi Lampung....  #Kupastuntas #BandarLampung #PresidenJokowiKembaliDijad  https://t.co/DMuUYR1FHp
Thu May 25 07:29:33 +0000 2023,@jimdfxnje makanya ituu
Thu May 25 07:28:26 +0000 2023,@goonch3 Wkwkw bukan wakil presiden beb
Thu May 25 07:28:15 +0000 2023,Silaturahim Kebangsaan ke Kediaman Din Syamsuddin
Thu May 25 07:27:23 +0000 2023,@suneo138 @aagunawan_ @ariarjiwinata02 @musksigit 🤣🤣🤣🤣🤣\n\nKirain Villa Puncak yg sales nya di pinggir jalan mak 😂😂😂
Thu May 25 07:26:55 +0000 2023,Kalau manusia takut berbuat dosa berati manusia itu bener dalam keimanan dan kepribadiannya\nNah kau carilah pemimpin seperti itu pantas untuk jadi presiden RI di negara ini Nanti \nJangan lihat orangnya siapa tapi dia takut berbuat dosa dan kesalahan dan tak menyalahkan orang lain https://t.co/wbaqQzj002
Thu May 25 07:26:12 +0000 2023,Ya udah sih Lantik aja pak Ganjar jadi PRESIDEN KOMPAS. kasihan bajer dan tim ses nya tiap hari bikin sure pay trus
Thu May 25 07:26:45 +0000 2023,Berada di Perbatasan
Thu May 25 07:26:05 +0000 2023,Presiden onta ini\nLihat video ꧁calon☯︎rondo꧂! #TikTok https://t.co/yJV6pupQg4
Thu May 25 01:39:41 +0000 2023,Betul nilai 100
Thu May 25 07:26:12 +0000 2023,@Rakyat_J3l4t4 @Dennysiregar7 @Gerindra Kenapa Jendral Subagyo.\n\nMantan KSAD yg ketuk palu pemecatan Prabowo.\nYg juga mantan Dewan Pertimbangan Presiden Jkw periode 1.\n\nSampai menjerit:\nRumah Jenderal Sudirman\nuntuk RUMAH PEMENANGAN PRABOWO jadi Pr
Thu May 25 07:26:34 +0000 2023,Prabowo Subianto Dijadwalkan Bertemu Dengan Presiden Jokowi Siang Ini di Bogor
Thu May 25 07:26:30 +0000 2023,@Uki23 Karena memang ber prestasi presiden yg bersebrangan pun memberikan penghargaan.\nFakta..bukan rekayasa. https://t.co/mi6mTcaSQW
Thu May 25 07:27:02 +0000 2023,Dalam kontestasi PEMILIHAN PRESIDEN 10 Tahun terakhir yang perlu diperhatikan kemana arah PEKAES dan PILIHLAH KEARAH YANG BERLAWANAN karena kalau ikut arah mereka itu sama saja ANDA MASUK JURANG SELANGKANGAN dan sudah dipastikan KALAH\n\nKOALISI PERLU BAHAN🤣🤣🤣 https://t.co/YQBc88uBIE
Wed May 24 14:34:00 +0000 2023,Simulasi 3 Capres Kompas: Ganjar 40 Persen
Thu May 25 07:26:55 +0000 2023,Rakyat mau perubahaan 2024 Anies Presiden... inih orang malah langgar uud1945. Hallo rakyat NKRI... jangan sampe kalian dibudaki dibodohi oleh bangsa sendiri yang berani langgar uud1945.
Thu May 25 01:19:03 +0000 2023,Indonesia Mampu Bayar Utang Hanya Sebatas Retorika dan Dongeng https://t.co/LjycsNIrgp
Thu May 25 07:23:12 +0000 2023,@Widyarenee Hrsnya seorang calon presiden lebih pintar dari org awam kayak kita dong
Thu May 25 07:25:36 +0000 2023,@ch_chotimah2 Ntar Di Kira Menjegal Bakal Calon Pererta Pemilihan Presiden Republik Indonesia {BaCaPePePresRI} ...Padahal Dulu Dia Jg Njegal Ahok Dgn Ayat...
Thu May 25 07:25:24 +0000 2023,@democrazymedia Yang penting Anies menang dan jadi presiden RI 2024
Thu May 25 07:23:25 +0000 2023,YANG ANEH dan menJADI TANDA TANYA koq ADA yang MASIH NEKAD utk JADI PRESIDEN yaaa
Thu May 25 07:23:30 +0000 2023,@Khalisa30712811 @Dennysiregar7 @Gerindra Pada takut Anies presiden..... Di survey selalu no 3 ....tapi kenapa dijegal sana sini...jgn jgn  survey nya Anies  no.1 ...
Thu May 25 07:24:53 +0000 2023,Anak2 milenia dukung sosok presiden Indonesia yg masyarakat nyaman
Thu May 25 07:25:51 +0000 2023,@VIVAcoid Mana ada presiden RI itu keturunan asing
Thu May 25 07:24:21 +0000 2023,@BennyHarmanID Nah lho
Thu May 25 07:25:14 +0000 2023,@kegblgnunfaedh pak presiden lsg jemput pak dg pesawat merahnya
Thu May 25 07:25:02 +0000 2023,@ya_begitudeh @awemany Wkk
Thu May 25 07:24:01 +0000 2023,@MarahIchsan @jokowi @KemenPU udah brp kali ganti presiden ya? pak jokowi msh ada setahun kurang...semoga yg tdk pernah dilakukan presiden2 sblmnya mjd PR yg hrs dikerjakan buat akhir masa jabatan pemerintahan skg ya..💪💪
Thu May 25 07:24:19 +0000 2023,@infomilanid @antaranews milan kena mulu karna berlusconi nyari suara itu waktu jadi presiden milan wkwkwk kriminal juga 🤣
Thu May 25 07:23:39 +0000 2023,Hebatnya walikota solo itu apa? Anak presiden doang kan? Walikota di Indonesia itu banyak. Kenapa dia doang yg disorot? Jaga kekuasaan? Tai!
Thu May 25 07:24:00 +0000 2023,@blckrem mau jg dong dikasih ka yot 👉👈
Thu May 25 07:25:04 +0000 2023,@alisyarief Survey taik
Thu May 25 07:26:00 +0000 2023,Ngeri baru jadi relawan suka lapor2 maka dari itu jangan sampai Ganjar Presiden gaisss \n\nBareskrim Tolak Laporan Relawan Ganjar soal Anies Bandingkan Jokowi dan SBY https://t.co/HF0VUOxl4i
Thu May 25 07:24:31 +0000 2023,@Yontayozhi ngeri ngeri sedap
Thu May 25 07:23:46 +0000 2023,@KakekHalal Jangan2 kl GP jadi presiden misi utamanya mensosialisasikan rakyat sering2 lihat bokep dan akan banyak bintang porno yg berkunjung ke negeri ini..... Aancoooor
Thu May 25 07:21:02 +0000 2023,Sudah lama tidak terlalu mengikuti informasi politik Indonesia
Thu May 25 07:21:00 +0000 2023,@bentangnegeri The only one. Org satu2nya yg bisa mukul2 presiden https://t.co/yvwZgaDoSb
Thu May 25 07:22:40 +0000 2023,@PutraErlangga95 Yg satu jd cawapres atas kemauan bpk presiden
Thu May 25 07:21:15 +0000 2023,@aniesbaswedan Anis presiden. \nPrioritas pertama membangun Negara YAMAN\nMenaturalisasi sebanyak banyaknya penduduk YAMAN menjadi WNI
Thu May 25 07:20:45 +0000 2023,Ibu Ainun Habibie meyakini bahwa Anies pantas mejadi presiden Indonesia dengan kepemimpinan nahkodanya
Thu May 25 07:22:58 +0000 2023,@Widyarenee Bayangkan klo onta dongo klo jadi presiden
Thu May 25 07:21:06 +0000 2023,@98SGHOTIC maluu njir 😩
Thu May 25 07:21:56 +0000 2023,@tvOneNews Jangan coba mengingatkan lembaga lain
Thu May 25 07:21:39 +0000 2023,Weh kok😂😂😂🫣🫣 Kampanye aja belum
Thu May 25 07:21:10 +0000 2023,Upaya Menangkan Pemilu 2024
Thu May 25 07:20:18 +0000 2023,Sejumlah nama kandidat calon wakil presiden (cawapres) untuk mendampingi Ganjar Pranowo muncul berdasarkan hasil survei Litbang Kompas pada 29 April-10 Mei 2023.\n\nDua nama
Thu May 25 07:21:29 +0000 2023,@iurbellvyst takut yoongi knp knp 😞
Thu May 25 07:22:27 +0000 2023,@BungkusTukang @aniesbaswedan Mantan akademisi dan lulusan luar negeri tapi pakek data bullshit. Yg gini mau jd presiden? Muke lu jauh @aniesbaswedan
Thu May 25 07:21:31 +0000 2023,@dreamy_lofoten @tanyakanrl Tapi jangan salah presiden kita banyakan gemini:)
Thu May 25 07:21:59 +0000 2023,@Andika74522181 @Dennysiregar7 @Gerindra Emang bisa ya satu parpol nyalonin bwt presiden banyak?
Thu May 25 07:22:08 +0000 2023,@jokowi dengan kerendahan hati saya mengharapkan bantuan Bapak Presiden Jokowi yang terhormat untuk membantu saya dalam proses hukum pelecehan anak di bawah umur 
Thu May 25 07:21:09 +0000 2023,@StefanAntonio__ @aniesbaswedan Yg udah jadi presiden aja bisa ga baca saat dia ttd 🤣. \n\nIni baru persepsi kementrian udah lgsg ditelen. \nKalo mmg lo dijalan yg bener
Thu May 25 07:20:32 +0000 2023,@KakekHalal Tenaang.. bisa tidur nyenyak.. sudah jadi presiden survey.. tak perlu lagi cawe-cawe..?
Thu May 25 07:19:52 +0000 2023,@wortelbuncis2 @Dennysiregar7 @Gerindra Lah LAWAK 😂😂 @ordinary_sang  lu tau berapa umur Presiden Trump mekdi
Thu May 25 07:20:15 +0000 2023,Martha memutuskan untuk pulang saja daripada mendengarkan orang-orang gila yang bergantian bicara. Ia menyetel musik di kepalanya
Thu May 25 07:20:10 +0000 2023,Waduh
Thu May 25 07:19:03 +0000 2023,Biografi GUS DUR (18)\n\nBahkan pada saat ia (Gus Dur)\nmenjabat sebagai Presiden RI\nsempat muncul anekdot\ntentang 3 misteri Tuhan\nbahwa ada 3 misteri Tuhan\nyang tidak bisa dipahami\natau diketahui manusia\nsebelum hal ini terjadi\nyaitu jodoh
Thu May 25 07:18:48 +0000 2023,@tvOneNews Bilang sama anak anak bangsa bahwa presiden kita suka film porno bisa jadi presiden
Thu May 25 07:20:13 +0000 2023,@KakekHalal Tujuan jadi presiden kok memberantas radikal. hadeuhh
Thu May 25 07:18:30 +0000 2023,@ferizandra anggaran atas nama presiden 
Thu May 25 07:19:37 +0000 2023,@Heraloebss Semoga ada undang2 kalo mau jadi presiden atau caleg harus ada pengalaman jad pak rt minimal 4 tahun
Thu May 25 07:19:18 +0000 2023,Kiprah Prabowo yang berusaha membuat pencak silat mendunia membuatnya didaulat menjadi Presiden Persilat Persekutuan Pencak Silat Antarabangsa yang merupakan organisasi pencak silat dunia.#SemuaDukungPrabowo #IkutPakde Prabowo Subianto
Thu May 25 07:19:01 +0000 2023,@tvOneNews Dan aku tidak akan pilih presiden suka nonton bokep tai
Thu May 25 07:18:33 +0000 2023,Kata PDIP soal Elektabilitas Ganjar Disalip Prabowo Presiden- Nasional Tempo #MengharumkanBangsa #SemuaDukungPrabowo #SayaSetyoko https://t.co/jfpz8OQAvw
Thu May 25 07:19:22 +0000 2023,Gelar tersebut diberikan atas sumbangsih Presiden Jokowi terhadap pembinaan dan pengembangan pencak silat di Indonesia.#SemuaDukungPrabowo #IkutPakde Prabowo Subianto
Thu May 25 07:20:11 +0000 2023,Di tengah maraknya pembangunan jalan tol
Thu May 25 07:19:13 +0000 2023,@mx00711 @__AnakKolong Koruptor = anjing
Thu May 25 07:19:54 +0000 2023,@Ganjaran_app @ganjarpranowo Semakin yakin deh gua untuk mendukung Pak Ganjar Pranowo menjadi Presiden Indonesia
Thu May 25 07:19:41 +0000 2023,@Ganjaran_app @ganjarpranowo Pastinya bila beliau menjadi Presiden RI akan banyak masyarakat yang diperhatikan dan diberi kesejahteraan oleh beliau
Thu May 25 07:19:07 +0000 2023,@AkuTerpesona8 @Quvvatt @Trending_Issue Udah dijelasin aja lo masih bego. \nBerapa hutang awal SBY menjabat presiden dan berapa hutang terakhir SBY menjabat. https://t.co/wsLdnse7Jo
Thu May 25 02:38:53 +0000 2023,Ini janggal tapi Ketua KPK dan Ketua MA sekarang sama2 dari Baturaja. Dan akan lebih menarik lagi jika dilihat kedekatan Eks Gub Bengkulu yg mantan terpidana Agusrin Najamudin dgn Ketua MA  Muhammad Syarifuddin.\n\nm*rkus\n https://t.co/nRqMC6P8oi
Thu May 25 07:19:23 +0000 2023,@ariarjiwinata02 @musksigit Ada yg gisele ga 😎😎💃💃
Thu May 25 07:19:20 +0000 2023,Sebagai presiden Persilat
Thu May 25 07:19:08 +0000 2023,@zoelfick Berbahaya  klu s anis jadi presiden  bisa 2 perang sodara...calon presiden  merangkap  provokator...
Thu May 25 07:17:13 +0000 2023,@Dennysiregar7 Seperti kata bambang pacul
Thu May 25 05:43:37 +0000 2023,Tjaaakep…\nKlo ada oknum yang coba mempermainkan Hukum
Thu May 25 07:09:05 +0000 2023,Prabowo akan Bertemu Jokowi Pada Kamis Siang https://t.co/r1M5ddS4l3
Thu May 25 07:18:17 +0000 2023,@PutraErlangga95 Mungkin Prabowo jadi menhan 2 periode dengan presiden yang baru.
Thu May 25 07:17:26 +0000 2023,@aniesbaswedan @calon pemimpin masa depan memang arus perbanyak ukua atau silaturahmi itu semua akan membuat kita lebih kenal dan mengetahui dan sekaligus mengkroscek disetiap wilayah karena itu semua nanti akan lebih mudah ketika pak Anis Baswedan terpil
Thu May 25 07:16:26 +0000 2023,Dalam politik
Thu May 25 07:17:06 +0000 2023,“Saya juga ingatkan Presiden dan TNI-Polri disiplin
Thu May 25 07:18:23 +0000 2023,@DepokGue_ @aniesbaswedan Ini media Depok ato media PKB sih? \n\nTrs tiap pemilu
Thu May 25 07:18:15 +0000 2023,@ZakkyAndy @bsi_ch @Munir_Timur Nih hasil kerja presiden lu Bong 😋 https://t.co/XSIseVPr4B
Thu May 25 07:16:51 +0000 2023,@KakekHalal pak @aniesbaswedan sebagai presiden 2024
Thu May 25 07:16:58 +0000 2023,@Adrianussatrio presiden ku juga pernah gini.\nyakan pakde @jokowi !?
Thu May 25 07:16:59 +0000 2023,Pacitan
Thu May 25 07:17:05 +0000 2023,Presiden Direktur PT Blue Bird Tbk
Thu May 25 07:16:36 +0000 2023,@Candra4smara buat yg ingusan dimaafkan
Thu May 25 07:16:28 +0000 2023,Ada yg berpikir bhw Presiden
Thu May 25 07:18:00 +0000 2023,CC: Bapak Presiden Republik Indonesia Ir. @jokowi @basuki_btp @AhokBasuki_btp
Thu May 25 07:17:04 +0000 2023,ERICKTHOHIRNEWS|  Survei: Erick Thohir Bakal Calon Wakil Presiden Terpopuler - https://t.co/Zspo6F9Aip | BangkitBersamaET  https://t.co/uBfgenkgyk
Thu May 25 07:17:23 +0000 2023,@KakekHalal Pak @aniesbaswedan presiden 2024
Thu May 25 07:18:11 +0000 2023,Menteri PUPR tanggapi kritikan Anies soal pembangunan jalan era Presiden Jokowi vs SBY. Salah baca data?\nhttps://t.co/llcVR2ZKIJ
Thu May 25 07:16:57 +0000 2023,@jimdfxnje tadi ada beberapa komen yg bahas ttg ini
Thu May 25 07:15:12 +0000 2023,@67fleurd DISURUH TAKE DOWN GA MAU. BISA BACA GA LU
Thu May 25 07:15:57 +0000 2023,Anak2 Genz mendukung calon presiden Indonesia yang bangsa ini percaya
Thu May 25 07:15:09 +0000 2023,@collegemenfess Nggak deh nggak diperiksa juga
Thu May 25 07:15:55 +0000 2023,Elite Parpol Berebut Restu Presiden
Thu May 25 07:15:20 +0000 2023,Gini mau jadi presiden??? Ambyarrrrr... 😆😆😆 https://t.co/KWdZq903tr
Thu May 25 07:15:56 +0000 2023,@AbdulRachimmks @aniesbaswedan garis miring boleh bang?
Thu May 25 07:15:49 +0000 2023,Jika nanti saya jadi presiden WNI keturunan tak boleh punya tanah di di Indonesia
Thu May 25 07:15:41 +0000 2023,Ketua Dewan Perwakilan Rakyat (DPR)
Thu May 25 07:15:15 +0000 2023,Terima kasih
Thu May 25 07:15:19 +0000 2023,@langitan99 Hallo pak  @Pak_JK 
Thu May 25 07:15:04 +0000 2023,@Dennysiregar7 Kalau calon presiden di agung2 kan buzzer
Thu May 25 07:14:57 +0000 2023,Solo - Ketua Umum Partai Gerindra Prabowo Subianto mengaku kaget mendapat dukungan dari relawan Gibran dan Jokowi se-Jawa Tengah dan Jawa Timur sebagai calon presiden (capres) 2024.#SemuaDukungPrabowo #IkutPakde Prabowo Subianto
Thu May 25 07:15:56 +0000 2023,@prabawananda @DPR_RI @puanmaharani_ri @jokowi @KejaksaanRI Kayaknya disengaja
Thu May 25 07:16:09 +0000 2023,Bakal calon presiden RI dari partai Nasdem
Thu May 25 07:15:43 +0000 2023,@damiri_dav15928 @aniesbaswedan Lah kadrun yg suka caci maki presiden yg notabene pemimpin Negara gimana? Kalo cuma kritik gk apalah mengkritik juga harus cerdas gk asal jeplak caci maki seenak udel
Thu May 25 07:12:11 +0000 2023,@panca66 Kikmano tindak lanjutnya kasus Newmont kok diem2 bae nyaris tak terdengar
Thu May 25 07:11:20 +0000 2023,@tvOneNews Munafik nya d mana klo sy pengen presiden terbaik
Thu May 25 07:13:22 +0000 2023,@kegblgnunfaedh Perusahaan yg Nyari kandidat
Thu May 25 07:12:29 +0000 2023,@zoelfick Sgt memalukan
Thu May 25 07:11:10 +0000 2023,@end877113 Ahok ndak bisa jadi presiden om.
Thu May 25 07:14:32 +0000 2023,Bakal calon presiden dari partai Nasdem
Thu May 25 07:13:38 +0000 2023,@moonareas Skuy
Thu May 25 07:13:18 +0000 2023,@prabawananda Lho kok malah ngomongin diri sendiri...??? \nYakin gak mau jadi presiden.... 😂
Thu May 25 07:11:43 +0000 2023,@Aryprasetyo85 Maju terus Pak Anies
Thu May 25 07:13:47 +0000 2023,@detikcom Blunder atau ketidakmampuan Presiden selalu saja ditutupi atau dibersihkan entah oleh Buzzer ataupun melalui kekuasaan itu sendiri
Thu May 25 07:10:04 +0000 2023,PKB dan Golkar mengatakan masih belum ada titik temu terkait kepastian koalisi inti dan calon wakil presiden yang akan mendampingi bakal calon presiden Prabowo Subianto.  https://t.co/NFN45NYiiM
Thu May 25 07:10:00 +0000 2023,Badan intelijen Ukraina secara terbuka mengakui ingin membunuh Presiden Rusia Vladimir Putin\n\n#SINDOnews #news\nhttps://t.co/5e01BurvKT
Thu May 25 07:10:31 +0000 2023,Prabowo Subianto menjadi sosok calon presiden (capres) 2024 yang dipilih oleh orang yang puas maupun tidak puas\n\n#SemuaDukungPrabowo\n#SayaSetyoko
Thu May 25 07:10:32 +0000 2023,atas kinerja pemerintahan Presiden Joko Widodo (Jokowi)-Wakil Presiden Ma'ruf Amin.\n\n#SemuaDukungPrabowo\n#SayaSetyoko
Thu May 25 07:10:26 +0000 2023,@DokterTifa saya bersama ARB.....\n\nkandidat presiden yang selalu menempati posisi buncit di tiap survey https://t.co/iL47ZRbtcF
Thu May 25 07:10:43 +0000 2023,@prabowo bukan plastik
Tue May 23 22:19:53 +0000 2023,Pak Prabowo itu memang tidak pandai pencitraan
Thu May 25 07:10:33 +0000 2023,Direktur Riset SMRC Deni Irvani memjelaskan
Thu May 25 07:10:34 +0000 2023,Sementara dari 17
Thu May 25 07:09:03 +0000 2023,@tanyakanrl Tapi kalo dari biomassa sih emang bisa-bisa aja Nder
Thu May 25 07:10:23 +0000 2023,Ketua Umum Projo Budi Arie Setiadi merespons dukungan 15 organ relawan Presiden Jokowi kepada Prabowo Subianto pada Pilpres 2024 .\n\n#SemuaDukungPrabowo\n#SayaSetyoko
Thu May 25 07:09:49 +0000 2023,@KakekHalal Masak org punya penyakit gagal paham atau bahasa anak sekolah SD tak paham bisa nyalon jd presiden?\nMau d bw kmn negeri ini...
Thu May 25 07:07:52 +0000 2023,@maleyintani @KakekHalal Banyak ikan dicuri cina di Natuna
Thu May 25 07:06:20 +0000 2023,@tanyakanrl Ya ada
Thu May 25 07:08:53 +0000 2023,Partai Gerindra mengeklaim lebih percaya dengan Presiden Joko Widodo daripada Ketua Umum PDI-P Megawati Soekarnoputri. Pasalnya Megawati disebut kerap membohongi Prabowo terkait Pemilihan Presiden.\nhttps://t.co/uUrydnizbC
Thu May 25 07:08:59 +0000 2023,@MprAldo Ada masa nya jabatan opung  tk bisa menolong opung dari kesalahan besar..2024 gantian presiden..
Thu May 25 07:07:49 +0000 2023,Presiden @jokowi menerima kunjungan kenegaraan Presiden Republik Islam Iran
Thu May 25 07:08:01 +0000 2023,@CNNIndonesia Mantab Pak. Saya Yakin bapak akan menjadi Presiden 2024. Karena bapak memegang teguh prinsip membela kemerdekaan segala bangsa. Rela tuan rumah Pildun dicabut
Thu May 25 07:07:45 +0000 2023,@Putri96960977 presiden soeharto memimpin selama kurleb 32 tahun justru negeri ini aman dari makhluk² yg mau mengadu domba dn memecah belah bangsanya sendiri
Thu May 25 07:06:55 +0000 2023,@ch_chotimah2 Hahaha.. Lu nyindir presiden null 😁
Thu May 25 07:07:28 +0000 2023,@aniesbaswedan Wes pak
Thu May 25 07:07:41 +0000 2023,Kejadian ini juga dulu gua tertawakan
Thu May 25 07:07:40 +0000 2023,Statmen dungu super tolol dan buta huruf
Thu May 25 07:06:44 +0000 2023,@Dr_AzmanIbrahim presiden pas kenal hang x yb 🤣🤣
Thu May 25 07:08:46 +0000 2023,@RandomWorldWar Min
Thu May 25 07:07:29 +0000 2023,"@Quvvatt @Trending_Issue Ini pencmaran nama baik karena ditujukan ke personal gak si? Bapak lu"" itu kan personal. Kalau ""presiden"" cuman title.\nYg kaya gini bisa dipenjarain gak si?"""
Thu May 25 07:08:14 +0000 2023,@petruspasaribuu @aniesbaswedan 😂😂😂😅😅😅\nGak nyambung
Thu May 25 07:06:58 +0000 2023,@ajengcute16__ @AgusYudhoyono lbh pantas jd presiden
Thu May 25 07:08:50 +0000 2023,KSP @Dr_Moeldoko Beberkan Keberanian Jokowi di G7\nIndonesia  berkomitmen mengejar target emisi karbon atau .NZE hingga tahun 2060 atau lebih cepat. Sangking berkomitmennya
Thu May 25 07:08:35 +0000 2023,Tugas Kepresidenan juga memungkinkan Bapak Presiden Joko Widodo @jokowi  (jangan)(terlalu)FOKUS KEMENANGAN Pilpres 2024. https://t.co/a35VnD8ewq
Thu May 25 07:08:21 +0000 2023,@IniJalanKami yang perintahkan ya atasan dia Polisi. nah
Wed May 24 13:49:52 +0000 2023,@hendraM78273441 Masalahnya.. angka 2.700 triliun itu adalah PENAMBAHAN utang dari SBY sendiri
Thu May 25 07:08:28 +0000 2023,@hattoricoin @pengarang_sajak semuannya bayaran
Thu May 25 07:05:16 +0000 2023,Relawan Prabowo (Repro) menggelar silaturahmi dan deklarasi dukungan kepada Menteri Pertahanan RI Prabowo Subianto untuk menjadi presiden RI 2024.\n\n#SemuaDukungPrabowo\n#SayaSetyoko
Thu May 25 07:03:11 +0000 2023,@amaliaabdullah @ainunnajib Yang belum ditiru daerah lain dan perlu ditiru dari pak Anies
Thu May 25 07:05:23 +0000 2023,@PASPusat Kata kat Presiden sendiri ka? \n\nhttps://t.co/vIx8XZwFjc
Thu May 25 07:05:18 +0000 2023,@Optimis346661 @msaid_didu @aniesbaswedan Ma'af
Thu May 25 07:02:47 +0000 2023,@Lembayung071 @aniesbaswedan Emang gue pikirin...yg penting anies presiden
Thu May 25 07:04:00 +0000 2023,@aagunawan_ @gloriahermawan Wak wakwak\n\nCc @henrysubiakto
Thu May 25 07:02:58 +0000 2023,membuat Prabowo Subianto menjadi calon paling ideal sebagai Presiden Republik Indonesia tahun 2024 #MengharumkanBangsa #IkutPakde Prabowo Subianto
Thu May 25 07:05:25 +0000 2023,@DS_yantie @achmadfauzi_wy Calon gub Jatim. Lalu naik jadi presiden (kalo viral)
Thu May 25 07:03:35 +0000 2023,Bukti2 dan eviden sangat banyak bahwa DPR dan Presiden senyatanya TIDAK PERNAH bekerja untuk rakyat.\n#RevolusiHancurkanOligarki \n#RevolusiHancurkanOligarki
Thu May 25 07:03:16 +0000 2023,@PutraErlangga95 Same energy
Thu May 25 07:03:25 +0000 2023,@kompascom Mengkoreksi &amp; membandingkan pek struktur Presiden Jokowi gak pake data &amp; fakta
Thu May 25 07:04:22 +0000 2023,"Mungkin judulnya akan lebih menarik netizen; PRESIDEN TUKANG NGIBUL\nPasti banyak yang komentari dah...\nGak percaya Googling aja presiden tukang ngibul"" muncul dah siapa yang dimaksud https://t.co/MLP3KHenGe"""
Thu May 25 05:44:27 +0000 2023,@InvasiTKAChina Begitu kesimpulan siap bahwa DPR tidak mampu
Thu May 25 07:05:28 +0000 2023,untuk memastikan kemenangan Pak Prabowo menjadi Presiden dan Gerindra menguasai 120 kursi parlemen
Thu May 25 05:35:38 +0000 2023,CAPRES TUKANG NGIBUL\n\nKesalahan FATAL jika menyerang Jokowi lewat pembangunan jalan atau infrastruktur. Rakyat Indonesia sudah tahu dan bisa merasakan pembangunan infrastruktur yg begitu masif di era Jokowi ketimbang SBY.\n\nTapi kalau soal membuat album lagu rakyat baru percaya… https://t.co/SJnyl5cW2v
Thu May 25 07:05:15 +0000 2023,Relawan di Sultra Deklarasi Dukung Prabowo Jadi Presiden 2024\n\n#SemuaDukungPrabowo\n#SayaSetyoko
Thu May 25 07:05:21 +0000 2023,Prabowo Subianto presiden! Indonesia kuat
