Name,Text,Like,Caption,Post_Category
tyaracya_nr,bayarnya bisa pakai dana tidak halte baleendah -alun alun?,Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
imardik,Cara bayar pakai fitur NFC Di hp ku kok gak detect terus yaa.. 😢,1 like,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
piratesofpriyono,Min klo kartu transjakarta bisa gk d pke..,1 like,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
viviclone,Min kartu tol bisa??,Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
ysusanti30,Kl kartu tsb msh aktif trus yg punya kartu uda meninggal apa blh d pke SM ortuxa atau kel intixa,Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
lumin_osityyy,"Min, saya daftar tarif khusus dan sudah diterima, tapi waktu verifikasi di bus malah ditolak. Waktu di daftar ulang malah katanya Datanya sudah ada 😢",Reply,"Satu kartu untuk satu orang, tanpa ribet uang kembalian. Tap and go, sesederhana itu!Hemat waktu, hemat tenaga, dan pastinya lebih aman. Nikmati perjalananmu tanpa khawatir kehabisan uang tunai.Jadi pastikan kamu membawa kartu non tunai masing-masing saat berencana naik Teman Bus ya!Untuk kamu yang belum punya kartu non tunai bisa memilih pembayaran dengan QRIS ya.Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
kristina_labellevie,"Apakah ini berlaku di semua kota, min? Termasuk Bali?",Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
yd.setya,Tp tidak berlaku kl di jogja 🔥,1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
fotografer.gaul,Kalo pakai Qris bgm,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
sinta_mlin,"Tolong untuk mesin yang error di dalam Bus segera diperbaiki/diganti sehingga integrasi tidak terganggu.  Kadang kalo ngga harus tap di bis belakang dan nunggu lagi, kadang Tap di pool yang ktm armada lain.  Agak repot dan dilapangan ada saja kendalanya",1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
universefactt,"kayanya harus dicek ulang deh min. aku dom solo, bulan lalu sampe sekarang aku rutin pp naik busway, tapi pas pindah koridor itu tap kartu tapi ga terintegrasi. tetep kepotong 3.700 🙂",1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
alfanrailfans,Ingpo koridor baru teman bus surabaya min,1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
pijat.jogjaa,"Lebih mudah pembayaran Transjogja, harus nya transportasi umum dibikin mudah, kasihan manula , penyandang disabilitas,",1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
kebudarsana,Bogor kapan nih....tarif integrasi,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
winar66,Mg yg lalu ke Jogja naik teman bus...Giwangan ke Malioboro...2 x dan cukup satu kali bayar....trims teman bus..,1 like,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
husnaatsar,Untuk mendapatkan kartu nya bisa beli dimana min,Reply,"Kemana pun tujuanmu, Teman Bus siap menemani! Satu kali bayar, kamu bisa pindah armada dan keliling kota sepuasnya. Ongkos makin murah berkat tarif integrasi. Petualangan di depan mata, tunggu apalagi? Yuk kita kemana?Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",pembayaran
