Name,Text,Like,Caption,Post_Category
puji_ayu86,Mau liburan,Reply,"Siapa yang libur Lebaran nanti berencana ke Bali? Yuk, cobain jalan-jalan ke Ubud naik Teman Bus! Mau makan siang di Bebek Bengil Ubud, terus ngopi di Monsieur Spoon atau Pison? Sini-sini, mimin kasih tau rutenya naik Teman Bus. Kamu bisa naik Teman Bus koridor 4 Bali rute Monkey Forest - Gor Ngurah rai, lalu nanti turun di Halte Hanoman 3 ya. Jangan lupa download aplikasi Mitra Darat untuk cek rute lain, tracking posisi bus dan estimasi kedatangan bus.Info lebih lanjut hubungi call center Teman Bus.#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
putradanahita,"Kemarin koridor 4 ada yg emoneynya ga bisa, jadi harus bayar double",Reply,"Siapa yang libur Lebaran nanti berencana ke Bali? Yuk, cobain jalan-jalan ke Ubud naik Teman Bus! Mau makan siang di Bebek Bengil Ubud, terus ngopi di Monsieur Spoon atau Pison? Sini-sini, mimin kasih tau rutenya naik Teman Bus. Kamu bisa naik Teman Bus koridor 4 Bali rute Monkey Forest - Gor Ngurah rai, lalu nanti turun di Halte Hanoman 3 ya. Jangan lupa download aplikasi Mitra Darat untuk cek rute lain, tracking posisi bus dan estimasi kedatangan bus.Info lebih lanjut hubungi call center Teman Bus.#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
kakrizkifauci,🙌🙌,Reply,"Siapa yang libur Lebaran nanti berencana ke Bali? Yuk, cobain jalan-jalan ke Ubud naik Teman Bus! Mau makan siang di Bebek Bengil Ubud, terus ngopi di Monsieur Spoon atau Pison? Sini-sini, mimin kasih tau rutenya naik Teman Bus. Kamu bisa naik Teman Bus koridor 4 Bali rute Monkey Forest - Gor Ngurah rai, lalu nanti turun di Halte Hanoman 3 ya. Jangan lupa download aplikasi Mitra Darat untuk cek rute lain, tracking posisi bus dan estimasi kedatangan bus.Info lebih lanjut hubungi call center Teman Bus.#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
eldr1chlu1,"Min, di info yang lengkap dong kalau turun di halte yg mana kuliner/wisata disekitar nya apa,",2 likes,"Siapa yang libur Lebaran nanti berencana ke Bali? Yuk, cobain jalan-jalan ke Ubud naik Teman Bus! Mau makan siang di Bebek Bengil Ubud, terus ngopi di Monsieur Spoon atau Pison? Sini-sini, mimin kasih tau rutenya naik Teman Bus. Kamu bisa naik Teman Bus koridor 4 Bali rute Monkey Forest - Gor Ngurah rai, lalu nanti turun di Halte Hanoman 3 ya. Jangan lupa download aplikasi Mitra Darat untuk cek rute lain, tracking posisi bus dan estimasi kedatangan bus.Info lebih lanjut hubungi call center Teman Bus.#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
rizka.tiff,"Siapapun yang meloloskan amdal ini, semoga harinya selalu menyenangkan dan dilapangkan rezekinya",208 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
d_azzlin,Update halte yang sebenar2nya min. Jgn sampe dipikir busnya bisa berhenti di situ ternyata tidak???? Jangan kaya yg dulu2 sudah ditunggu dan ditahan busnya ternyata tdk mau berhenti karena alasannya takut berselisih dengan pete pete. Kalaupun memang tdk bisa berhenti untuk ambil dan turunkan penumpang sebaiknya hapus saja haltenya. Di-update halte yang benar-benar bisa penumpang naik,36 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
ditalfiah,Apakah jadwal bus bisa dilihat dari aplikasi?,Reply,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
_ini_dian,Koridor 2 cuman sedikit halte yang dilewati ternyata. Tidak sesuai dengan yang tertera disini😢,8 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
fauuuzannnn_,"Kasi sampai stasiun maros min, biar nda perluka naik  kendaraan pribadi ke kampus. Karena banyak sekali ini warga maros naik kendaraan pribadi ke kampus, bikin macet.😂",19 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
thitaaaaa12,Makin bingung rute nya pdhal biasa naik yg dr mall panakukang ke bandara,Reply,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
wulandhanim,Huaaaaa akhirnya koridor 2 kembali seperti semula😭😭😭🥹,5 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
devi_lam999,TERIMA KASIH ORANG BAIK🔥🔥❤️❤️,4 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
fxdwwa,"Info dong yang udah naik teman bus dari stasiun mandai ke halte unhas, mau tanya tanyaa",1 like,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
wahyuni_allik,Sudah tidak ada lagi rute bandara- mp???,Reply,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
fotografer.gaul,Bismillah Assalamu Alaikum Usul kalo bisa kalo bisa di ks gratis dulu supaya di tau rute rutenya di mana singgah kalo sdh di tau kan gampang makasih,1 like,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
mc_hl10,Saatnyami pakai transportasi publik biar bisa upgrade lagi kedepannya,7 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
buspad,Alhamdulillah..rute nya keren. Bangkit terus teman Bus,34 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
itsmusdlfh,Dimana bisa ditau jam berapa ada busnya diset8ap titik min?,Reply,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
cliffordlapian,Sudah bisa turun di jalan perintis? Btw keren @teman_bus 👏🔥,6 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
ky.556,❤️❤️❤️❤️❤️ finally koridor 5 😍,1 like,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
indiitriyani,Semoga ada koridor baru yg sisir area gowa pallangga-sungguminasa,1 like,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
rimawaty14,Ibu sy sangat bahagia sdh ada teman bus di gowa. Terimakasih,5 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
ayulinggaresky,"Semoga semakin banyak teman bus, supaya orang² bisa berali ke transport umum saja. Mengurangi polusi dan macet",103 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
kumalasariidha,𝚃𝚊𝚋𝚎 𝚊𝚍𝚊 𝚢𝚊𝚗𝚐 𝚋𝚒𝚜𝚊 𝚓𝚎𝚕𝚊𝚜𝚔𝚊𝚗 𝚛𝚞𝚝𝚎𝚗𝚢𝚊 𝚕𝚒𝚊𝚝 𝚍𝚒𝚖𝚊𝚗𝚊 𝚚 𝚢𝚎𝚔,1 like,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
_tqqrr,Knp yang bandara-mp gak ada lagi😢,Reply,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
rhm.dani66,Akhirnya adami yng lewat kampus👏👏,1 like,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
nonabundu,"Rute parangloe sdh tdk ada, pdahal sangat membantu untuk karyawan2 di parangloe 😢😢 @teman_bus",5 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
ayana7879,Alhamdulillah udah bisa naik bus lgi di Gowa,1 like,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
nad_nadirah11,"Terima kasih @teman_bus @temanbusmakassar @dishubprovsulsel @sulselprov almamater tercinta @hasanuddin_univ, kalian keren 🔥🔥🔥",2 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
amrin_d.rani,Pakai aplikasi ka ini?,Reply,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
wahyuikawulandari14,Jujur sih dr 1 thn pngn naik bus ini tp g jelas jdwalnya...,Reply,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
ohsayailham,Semoga tidak clash sama pete-pete🔥,25 likes,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
auliamajid_syamsuddin,jauhmu kerja d perintis pergi nu ganggui terus anak K 1,1 like,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
musdalipah61,👏👏 terima kasih @temanbusmakassar @kemenhub151 @hasanuddin_univ  @teman_bus sudah membuat koridor K5..semoga bisa bertahan..dan masyarakat bisa beralih ke transport umum..,1 like,"Mahasiswa UNHAS ayo ngacung! Ini dia rute baru yang kamu tunggu-tunggu. Koridor 5, rute Kampus Teknik UNHAS - Kampus UNHAS Tamalanrea resmi beroperasi hari ini!Koridor 2 Makassar juga dapat sentuhan baru nih, buruan cek di aplikasi Mitra Darat sekarang juga ya!Oh iya, ada tambahan info nih buat kamu penumpang Kereta Api Sulawesi Selatan, Kartu Penumpang Layanan Integrasi sudah tidak ada lagi yaa.Tapi jangan khawatir, Teman Bus akan terintegrasi Stasiun Kereta Api Mandai setiap 10-15 menit.Gimana udah siap nyobain rute baru di Makassar? Info lebih lanjut hubungi call center Teman Bus#KamiAdaUntukAnda#DownloadMitraDarat",promosi layanan
